Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	br_lengths[88]	br_lengths[89]	br_lengths[90]	br_lengths[91]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	rel_br_lengths[88]	rel_br_lengths[89]	rel_br_lengths[90]	rel_br_lengths[91]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-436.9538	-592.1257	155.1719	0.00203644	0.0275787	0.00296644	0.0195114	0.0049655	0.00542495	0.00748613	0.00241964	0.00774994	0.00544085	0.0019339	0.00848189	0.0144629	0.00448439	0.0024919	0.0241662	0.008316	0.00199356	0.00312189	0.00957971	0.00478731	0.000208978	0.00180401	0.00406283	0.00846456	0.00584627	0.00315937	0.00533488	0.000292449	0.00214604	0.00331241	0.00541111	0.022048	0.000937307	5.95535e-05	0.0104718	0.00238049	0.00753107	1.07347e-05	0.000201687	0.000295186	0.00729527	0.00468792	0.00348265	0.00787757	0.00870334	0.0394591	0.00554194	0.0544673	0.00730686	0.000221199	0.00495915	0.0360969	0.0251433	0.00169187	0.0013252	0.0165068	0.0122581	0.00299738	0.0219732	0.00834747	0.00306142	0.00435391	0.00161905	0.00307518	0.00487365	0.00609	0.0100845	0.00296218	0.0179377	0.00616185	0.00749997	0.00235103	0.0143908	0.00156079	0.000408229	0.0300672	0.00227629	0.00163733	0.00560232	0.00715595	0.00338541	0.0143947	0.00295702	0.0096864	0.000866618	0.00889456	0.00609592	0.0057143	0.0154444	0.00364476	1.2408	0.958888	0.7663818	1.233618	0.0443408	0.218798	0.622451	1.60655	4.57043	22.5526	2.252975	1.609665	0.2209268	0.00279741	0.0378842	0.00407493	0.0268023	0.00682098	0.00745211	0.0102835	0.0033238	0.0106459	0.00747396	0.00265655	0.0116514	0.0198673	0.00616009	0.00342306	0.0331965	0.0114235	0.0027385	0.00428846	0.0131594	0.00657621	0.000287068	0.00247813	0.005581	0.0116276	0.00803087	0.00433995	0.00732839	0.00040173	0.00294797	0.00455018	0.0074331	0.0302867	0.00128756	8.18071e-05	0.0143848	0.00327002	0.0103452	1.47459e-05	0.000277053	0.00040549	0.0100213	0.00643968	0.00478403	0.0108212	0.0119556	0.054204	0.00761282	0.0748203	0.0100373	0.000303856	0.00681226	0.0495854	0.0345387	0.00232408	0.00182039	0.022675	0.0168386	0.00411743	0.030184	0.0114667	0.00420539	0.00598086	0.00222405	0.00422429	0.00669481	0.00836567	0.0138529	0.00406907	0.0246405	0.00846437	0.0103025	0.00322956	0.0197683	0.00214402	0.000560775	0.0413026	0.00312689	0.00224915	0.00769576	0.00982995	0.00465045	0.0197736	0.00406198	0.013306	0.00119045	0.0122182	0.00837382	0.00784959	0.0212156	0.00500672	0.616809	0.383191	0.7279743
36	-452.0061	-606.9506	154.9445	0.00130812	0.00723587	0.000800221	0.0103641	0.00855756	0.000840232	8.42867e-05	0.00411431	0.0108994	0.000602166	0.00264724	0.00106422	0.0122684	0.00187454	0.00288541	0.00382254	0.00536211	0.00353176	0.00437093	0.0076613	0.000586448	7.60276e-05	0.00644511	0.00573373	0.0119875	0.00468653	0.00046969	0.00192968	0.00165742	0.00261847	0.0027486	0.00298256	0.00125485	0.000255193	0.00107409	0.00580119	0.00576114	0.00201405	0.0010122	0.000182287	0.00669054	0.0039437	0.00254605	0.00333053	0.00573316	0.00652714	0.0209594	0.00638792	0.000455168	0.00406044	0.00314406	0.00290354	0.000507261	0.00443515	0.00266165	0.000962193	0.0102651	0.000371603	0.00549678	0.00361145	0.000658574	0.0100746	0.00042105	0.00330055	0.000778269	0.00735756	0.00557641	0.00224458	0.0021741	0.00777363	0.019767	0.00139221	0.00295221	0.00541272	0.00347312	0.000212745	0.000422107	0.00496672	0.000236051	0.00758932	0.00302434	0.0121074	0.00839053	0.0146417	0.000674427	0.000372947	0.00435435	0.0112902	0.0335413	0.0232785	0.000843687	2.19489	0.795995	0.9116298	1.08837	0.0396133	0.207092	0.611865	1.63435	4.82877	25.2441	2.334493	1.193873	0.4707773	0.00294711	0.0163019	0.00180284	0.0233495	0.0192796	0.00189298	0.000189892	0.00926923	0.0245555	0.00135664	0.00596403	0.00239762	0.0276399	0.0042232	0.00650062	0.0086119	0.0120804	0.0079568	0.00984738	0.0172603	0.00132122	0.000171285	0.0145204	0.0129177	0.0270069	0.0105584	0.00105818	0.00434742	0.00373404	0.00589923	0.00619239	0.0067195	0.00282709	0.000574932	0.00241984	0.0130697	0.0129794	0.0045375	0.0022804	0.00041068	0.0150733	0.00888486	0.00573607	0.00750344	0.0129164	0.0147052	0.0472199	0.0143915	0.00102546	0.00914788	0.00708333	0.00654146	0.00114282	0.00999207	0.00599649	0.00216775	0.0231264	0.000837194	0.0123838	0.00813634	0.00148372	0.0226973	0.000948596	0.00743591	0.00175338	0.016576	0.0125633	0.00505688	0.0048981	0.0175134	0.0445337	0.00313655	0.00665113	0.0121945	0.00782468	0.000479299	0.000950977	0.0111897	0.000531806	0.0170982	0.00681361	0.027277	0.0189033	0.0329866	0.00151944	0.000840223	0.00981004	0.0254359	0.075566	0.0524448	0.00190077	0.544185	0.455815	0.443867
72	-440.0232	-595.2363	155.2131	0.00182614	0.0394264	0.00391631	0.0138359	0.00011693	0.000281277	0.0055846	0.00341768	0.0219449	0.00233172	0.00262963	0.000396179	0.00257108	0.000719678	0.0022375	0.00788121	0.0019765	0.000719955	0.0100965	0.0117724	0.0069197	1.00888e-05	0.00363124	0.00113659	0.00341462	0.00912487	0.00273175	0.00023085	0.00357772	0.000581254	0.00438211	0.000808548	0.000628578	0.00032609	0.00349277	0.002022	0.0028387	0.0109858	0.00357102	0.000443829	0.00510674	0.00192952	0.00261486	0.00288013	0.00260328	0.00206565	0.00819752	0.0132424	0.000202494	0.00610549	0.00326783	0.00104673	0.00278041	0.00118759	0.00143455	0.000419487	0.0137037	0.001196	0.00806127	0.00321934	0.00808532	0.0044259	0.00114094	0.0143783	0.00112996	0.00385201	0.00925205	0.00427974	0.0122473	0.0103776	0.0304811	0.000220576	0.00141373	0.00614337	0.00201461	0.000112854	0.001375	0.00148506	0.00557484	0.00180686	0.0162319	0.0161631	0.00806152	0.0195464	0.00476053	0.00145985	0.00216126	0.011258	0.044777	0.016648	0.00255724	2.61039	0.725055	1.087417	0.9125829	0.0479128	0.227223	0.629833	1.58772	4.40096	20.8713	2.196953	0.8392206	0.6146807	0.00338658	0.0731165	0.00726282	0.0256587	0.000216847	0.000521629	0.0103567	0.00633811	0.040697	0.00432418	0.00487666	0.000734716	0.00476808	0.00133465	0.00414945	0.0146157	0.00366544	0.00133516	0.018724	0.021832	0.0128326	1.87097e-05	0.00673415	0.00210782	0.00633242	0.0169221	0.00506604	0.000428113	0.00663489	0.00107794	0.00812664	0.00149946	0.0011657	0.000604735	0.00647736	0.00374981	0.00526438	0.0203732	0.00662248	0.000823082	0.00947047	0.0035783	0.00484927	0.00534122	0.0048278	0.00383075	0.0152023	0.0245581	0.000375526	0.0113227	0.0060602	0.00194116	0.00515628	0.0022024	0.00266038	0.00077794	0.0254135	0.00221799	0.0149497	0.00597029	0.0149943	0.00820784	0.00211588	0.0266646	0.00209552	0.00714357	0.017158	0.00793679	0.0227127	0.0192454	0.0565273	0.00040906	0.00262176	0.0113929	0.00373611	0.000209287	0.00254995	0.00275404	0.0103386	0.00335082	0.0301022	0.0299745	0.0149501	0.0362488	0.00882842	0.0027073	0.00400807	0.0208781	0.0830391	0.0308737	0.00474241	0.456291	0.543709	0.5392276
108	-435.2885	-590.2478	154.9593	0.00488709	0.0385435	0.0105768	0.00626755	0.000277861	0.00324324	0.000336285	0.0117516	0.0351243	0.00639526	0.000192454	0.0150349	0.00238418	0.00219577	0.00711029	0.0180831	0.00979118	0.0183075	0.00114231	0.0130072	0.0101052	0.000987128	0.00209098	0.0201521	0.0015258	0.0316034	0.000935752	0.00328992	0.0017828	0.0125068	0.00666508	0.00661307	0.00315969	0.0243993	0.00194675	0.0124579	0.00737354	0.0275887	0.00197251	0.00062341	0.00667009	0.00214375	0.000626447	0.0102889	0.00583931	0.0370065	0.0422216	0.00708971	0.000340094	0.00185136	0.00269543	0.00580707	0.0168978	0.0104071	0.00905658	0.00636969	0.000776176	0.00982674	0.0358068	0.00180327	0.0264736	0.00140662	0.010667	0.00526466	0.00288653	0.0521565	0.0166207	0.00202617	0.0127953	0.0487747	0.00887135	0.0281182	0.0150497	0.0110845	0.0117705	0.0191334	0.0038086	0.00974669	0.00402501	0.00393976	0.0820574	0.042007	0.00361041	0.000706383	0.00665868	0.0249251	0.0194713	0.00955272	0.0331874	0.0065103	0.0115984	2.34827	0.769808	0.9165625	1.083438	0.0820426	0.295375	0.683544	1.46296	3.38552	12.1888	1.808046	1.182066	0.5208092	0.00432157	0.0340833	0.00935283	0.00554228	0.000245707	0.00286794	0.000297371	0.0103917	0.0310598	0.00565521	0.000170184	0.0132951	0.00210829	0.00194168	0.0062875	0.0159905	0.00865816	0.016189	0.00101012	0.011502	0.00893584	0.000872899	0.00184901	0.0178201	0.00134924	0.0279463	0.000827469	0.00290922	0.0015765	0.0110595	0.00589381	0.00584782	0.00279405	0.0215759	0.00172148	0.0110163	0.00652029	0.0243962	0.00174425	0.00055127	0.00589824	0.00189568	0.000553956	0.00909829	0.0051636	0.0327242	0.0373358	0.0062693	0.000300739	0.00163712	0.00238352	0.00513509	0.0149424	0.00920282	0.00800857	0.0056326	0.000686358	0.00868961	0.0316633	0.0015946	0.0234102	0.00124385	0.00943266	0.00465544	0.0025525	0.046121	0.0146973	0.0017917	0.0113146	0.0431306	0.00784478	0.0248645	0.0133082	0.00980178	0.0104084	0.0169194	0.00336787	0.00861882	0.00355924	0.00348386	0.0725619	0.037146	0.00319262	0.000624641	0.00588815	0.0220408	0.0172181	0.00844729	0.029347	0.00575694	0.0102562	0.541719	0.458281	1.130861
144	-443.356	-597.589	154.233	0.00406355	0.0582253	0.0195213	0.0272619	0.000536641	0.000767557	0.00211358	0.0217953	0.0466876	0.015832	0.000452688	0.0204791	0.0095822	0.00355214	0.0290345	0.0225263	0.0462532	0.0347135	0.0184975	0.0289169	0.0266961	0.0279722	0.00727535	0.0448142	0.00570045	0.0412163	0.00490877	0.0112225	0.00943632	0.0217464	0.00212216	0.0106419	0.000447124	0.0346291	0.0165416	0.0414103	0.0224974	0.0252394	0.00777729	0.00322113	0.0164254	0.0479437	0.0287803	0.0235667	0.0166038	0.0149476	0.0634253	0.000707791	0.0154533	0.00589613	0.00901792	0.0170296	0.0335137	0.0138331	0.0517035	0.00318769	0.000597637	0.00816255	0.0252477	0.00683413	0.0659571	0.00190792	0.0161072	0.00495574	0.00137501	0.0317937	0.0280085	0.00775362	0.0165216	0.0971868	0.0168747	0.0612463	0.00442233	0.00885505	0.00701646	0.0328551	0.00835235	0.0671868	0.00285573	0.00443025	0.217313	0.166915	0.0137499	0.0016625	0.0162014	0.0462278	0.00980512	0.0375653	0.0470834	0.00957008	0.0128824	0.769166	1.03941	0.6532972	1.346703	0.163339	0.413258	0.759046	1.31744	2.4198	6.12225	1.31015	2.061394	0.1263418	0.00181098	0.0259489	0.00869993	0.0121497	0.000239161	0.000342072	0.000941948	0.00971336	0.020807	0.00705575	0.000201747	0.00912679	0.00427044	0.00158306	0.0129396	0.0100391	0.0206134	0.0154706	0.00824366	0.0128872	0.0118975	0.0124662	0.00324236	0.0199721	0.00254048	0.0183686	0.00218766	0.00500144	0.00420542	0.00969159	0.00094577	0.00474273	0.000199267	0.0154329	0.00737199	0.0184551	0.0100263	0.0112483	0.00346606	0.00143554	0.00732018	0.0213668	0.0128264	0.0105028	0.00739971	0.00666158	0.0282664	0.000315437	0.00688697	0.00262769	0.00401896	0.00758946	0.0149358	0.00616489	0.0230424	0.00142064	0.000266345	0.00363775	0.011252	0.00304572	0.0293947	0.00085029	0.00717841	0.0022086	0.00061279	0.0141693	0.0124824	0.00345551	0.00736307	0.0433126	0.00752043	0.0272952	0.00197087	0.00394637	0.00312698	0.0146423	0.00372234	0.0299427	0.0012727	0.0019744	0.0968486	0.0743879	0.00612783	0.000740917	0.00722038	0.0206021	0.00436979	0.0167415	0.0209834	0.00426504	0.00574123	0.673351	0.326649	2.243845
180	-452.031	-606.3422	154.3112	0.0033316	0.047604	0.00932998	0.0260124	0.00372793	0.00188095	0.0288931	0.0221331	0.0297578	0.00144737	0.0051954	0.00556224	0.0226954	0.000187581	0.0134564	0.016056	0.00688071	0.00879849	0.0123997	0.00489477	0.00722638	0.0183412	0.00366841	0.0167526	0.00154858	0.00341455	0.0324215	0.00500285	0.00918055	0.0050218	0.0212922	0.01158	0.000366115	0.0135176	0.00113348	0.0131219	0.0235559	0.0242444	0.00257204	0.00204975	0.0101894	0.00314838	0.0126906	0.00954478	0.00518725	0.00583013	0.0259988	0.0103956	0.0165696	0.00313895	0.00531426	0.00541118	0.0100864	0.0136384	0.0260422	0.0163499	0.00327726	0.0242037	0.0151189	0.0133032	0.0237129	0.00716808	0.0081692	0.00539375	0.0129835	0.019723	0.00629137	0.0147348	0.00299873	0.032084	0.00613132	0.0262806	0.00175863	0.0241614	0.00511406	0.00627697	0.0162478	0.0519293	0.00534165	0.00341615	0.105029	0.0729709	0.0106945	0.00294894	0.0120847	0.011762	0.00393572	0.0783849	0.0292079	0.000861714	0.00604398	3.0297	0.653466	0.8898523	1.110148	0.0847813	0.300144	0.686968	1.45567	3.33174	11.7951	1.784303	1.247564	0.7915738	0.00249458	0.0356441	0.00698594	0.0194771	0.00279133	0.00140839	0.0216341	0.0165724	0.0222815	0.00108374	0.00389012	0.0041648	0.0169935	0.000140454	0.0100757	0.0120221	0.00515202	0.00658798	0.00928447	0.00366502	0.00541084	0.0137332	0.00274677	0.0125437	0.00115952	0.00255668	0.024276	0.00374595	0.00687405	0.00376014	0.0159428	0.00867066	0.000274133	0.0101215	0.000848704	0.00982515	0.0176378	0.0181533	0.00192585	0.00153477	0.00762942	0.00235739	0.00950228	0.00714677	0.00388402	0.00436538	0.0194669	0.00778382	0.0124067	0.00235033	0.00397912	0.00405169	0.00755234	0.0102119	0.0194994	0.0122422	0.00245389	0.0181228	0.0113204	0.00996091	0.0177553	0.00536719	0.00611679	0.00403864	0.00972156	0.0147679	0.00471075	0.0110329	0.00224534	0.0240233	0.0045909	0.019678	0.0013168	0.0180912	0.00382921	0.00469996	0.0121658	0.0388827	0.00399963	0.00255789	0.0786417	0.0546379	0.00800762	0.00220806	0.00904861	0.00880696	0.00294692	0.0586917	0.0218698	0.000645219	0.00452551	0.555074	0.444926	1.335537
216	-448.7466	-603.9991	155.2525	0.0261864	0.0243267	0.000740922	0.0053902	0.00302963	0.0106633	0.00811977	0.0300182	0.00236678	0.0134911	0.00345149	0.00166869	0.00834074	0.0121523	0.0154928	0.018355	0.0129937	0.00816978	0.0554476	0.00914889	0.0242741	0.00522014	0.000945336	0.00660346	0.0116768	0.0258792	0.00224277	0.000477549	0.00169721	0.00179176	0.0079714	0.00308346	0.0140554	0.0250453	0.0122026	0.0187598	0.00649635	0.00238737	0.00245223	0.00288334	0.0187653	0.018829	0.0291771	0.00358191	0.00524007	0.0249523	0.0341781	0.006704	0.149938	0.0211128	0.00279981	0.0319886	0.0453006	0.00684589	0.0154129	0.0172527	0.00110248	0.0418859	0.0232898	0.00697841	0.00536729	0.000656619	0.00539641	0.0014521	0.00373152	0.0448782	0.0122328	0.05355	0.0152901	0.0349795	0.000820573	0.0134929	0.00408746	0.0128072	0.00975296	0.0277888	0.0408374	0.00359355	0.00945555	0.0287255	0.0055469	0.0150172	0.031915	0.0509763	0.0103399	0.00244944	0.0477907	0.0217868	0.000953585	0.0326015	0.00788907	0.969196	1.00526	0.7617699	1.23823	0.125087	0.362833	0.728848	1.37203	2.75609	7.99446	1.503079	1.625465	0.1646067	0.0173742	0.0161403	0.000491589	0.00357631	0.00201011	0.00707489	0.00538733	0.0199165	0.00157032	0.00895113	0.00229	0.00110715	0.00553394	0.00806284	0.0102792	0.0121782	0.00862112	0.00542051	0.0367886	0.00607013	0.0161054	0.00346348	0.000627214	0.00438128	0.00774737	0.0171704	0.00148804	0.000316845	0.00112607	0.00118881	0.00528889	0.00204583	0.00932553	0.0166171	0.00809624	0.0124468	0.00431022	0.00158398	0.00162701	0.00191305	0.0124505	0.0124927	0.0193585	0.00237654	0.00347669	0.0165554	0.0226766	0.00444799	0.0994812	0.014008	0.00185763	0.0212239	0.0300562	0.00454213	0.0102262	0.0114469	0.000731479	0.0277906	0.0154524	0.00463006	0.00356111	0.000435655	0.00358043	0.000963447	0.0024758	0.0297759	0.00811626	0.0355295	0.0101447	0.0232083	0.000544436	0.00895232	0.00271196	0.00849739	0.00647092	0.0184374	0.0270949	0.00238426	0.0062736	0.0190589	0.00368028	0.00996367	0.021175	0.0338219	0.00686032	0.00162516	0.0317083	0.0144552	0.000632688	0.0216306	0.00523426	0.619115	0.380885	1.507198
252	-442.0301	-596.7849	154.7548	0.00382018	0.0304235	0.0106461	0.0211039	0.00208213	0.00521212	0.0021437	0.00727998	0.0101388	0.00703016	0.00369221	0.00631875	0.0191853	0.00324007	0.00946743	0.0172577	0.0128431	0.00945804	0.00994027	0.0362945	0.00126538	0.00998939	0.00389305	0.00768696	0.00861239	0.0113235	0.000121847	0.000120281	0.00125964	0.00308651	0.00160999	0.00156782	0.00903837	0.0071437	0.0165666	0.00883767	0.00933501	0.00387968	0.000288051	0.00019361	0.00616279	0.0141411	0.00990756	0.00477908	0.00172694	0.013572	0.0144363	0.000804001	0.0071619	0.00411346	8.83003e-05	0.00158902	0.00253178	0.00674251	0.00627164	0.00169132	0.00601081	0.00139989	0.0173828	0.0237624	0.0161095	0.00255025	0.00259453	0.00101235	0.00165745	0.0141425	0.00437038	0.00704725	0.00689035	0.0250306	0.00217384	0.00780601	0.00370011	0.0227995	0.00403379	0.000722163	0.0111279	0.0294321	0.000351054	0.0177731	0.0370481	0.0237795	0.0061842	0.0171164	0.0001003	0.00561087	0.0196699	0.028919	0.00881192	0.00369418	0.00691512	1.22791	0.961088	0.5755847	1.424415	0.0539621	0.240789	0.641331	1.55926	4.15302	18.5315	2.110981	2.474728	0.2181315	0.00467674	0.0372451	0.0130331	0.0258358	0.00254898	0.00638078	0.00262436	0.0089123	0.0124121	0.00860646	0.00452007	0.00773554	0.023487	0.00396655	0.0115902	0.0211272	0.0157228	0.0115787	0.0121691	0.0444324	0.0015491	0.0122292	0.00476595	0.00941053	0.0105435	0.0138625	0.000149168	0.000147251	0.00154207	0.00377857	0.00197099	0.00191935	0.0110649	0.00874545	0.0202811	0.0108192	0.0114281	0.00474958	0.000352638	0.000237021	0.00754461	0.0173119	0.012129	0.00585064	0.00211415	0.0166151	0.0176731	0.000984274	0.00876774	0.00503578	0.000108099	0.00194531	0.00309946	0.00825431	0.00767787	0.00207055	0.00735855	0.00171377	0.0212804	0.0290904	0.0197216	0.00312207	0.00317627	0.00123933	0.00202909	0.0173135	0.0053503	0.00862738	0.0084353	0.0306429	0.00266126	0.00955628	0.00452974	0.0279115	0.00493825	0.000884087	0.013623	0.0360313	0.000429767	0.0217582	0.045355	0.0291113	0.00757081	0.0209542	0.000122789	0.00686893	0.0240802	0.0354032	0.0107877	0.00452248	0.00846562	0.712208	0.287792	0.816847
288	-428.421	-583.0335	154.6125	0.000734042	0.0179269	0.00488812	0.0093888	0.00545218	0.000865168	0.00132984	0.00982774	0.0124945	0.00805705	0.010111	0.0132282	0.0219876	0.00388618	0.00414938	0.0399524	0.0138117	0.00447723	0.00808318	0.00805591	0.00145021	0.00340404	0.00159471	0.0162341	0.00192325	0.00491801	0.00065492	9.14797e-05	0.00181869	0.00590478	0.00355793	0.00141933	0.0112524	0.0311659	0.00666402	0.00833547	0.0068875	0.0060713	0.000182402	0.000188536	0.00883554	0.00387086	0.0049021	0.0096469	0.0132259	0.00700421	0.0241131	0.000275803	0.00565488	0.0130628	4.21494e-05	0.00250071	0.016337	0.00753931	0.0055331	0.00846906	0.0188003	0.00178116	0.0150083	0.0169915	0.0171523	0.00358312	0.00281198	0.00921853	0.000477272	0.0101592	0.00269915	0.0216783	0.00497117	0.0181793	0.00266671	0.00232983	0.00517036	0.00834279	0.00228544	0.000516338	0.0035346	0.0267638	0.00140249	0.0108761	0.107741	0.0520479	0.0148437	0.000286209	0.000405314	0.00146415	0.049484	0.0304982	0.00298371	0.0214783	0.00202008	2.05514	0.819855	0.6899941	1.310006	0.0633489	0.260379	0.657173	1.52167	3.84056	15.7856	1.995017	1.898575	0.4279745	0.000785835	0.0191918	0.00523301	0.0100512	0.00583687	0.000926213	0.00142367	0.0105212	0.0133761	0.00862554	0.0108244	0.0141615	0.023539	0.00416038	0.00444215	0.0427714	0.0147862	0.00479314	0.00865351	0.00862432	0.00155254	0.00364422	0.00170723	0.0173796	0.00205896	0.00526502	0.00070113	9.79344e-05	0.00194701	0.00632141	0.00380897	0.00151948	0.0120463	0.0333649	0.00713422	0.0089236	0.00737346	0.00649967	0.000195272	0.000201838	0.00945896	0.00414398	0.00524798	0.0103276	0.0141591	0.00749841	0.0258144	0.000295263	0.00605387	0.0139845	4.51234e-05	0.00267715	0.0174898	0.00807127	0.00592351	0.00906662	0.0201268	0.00190684	0.0160672	0.0181904	0.0183626	0.00383594	0.00301039	0.00986897	0.000510948	0.010876	0.0028896	0.0232078	0.00532192	0.019462	0.00285487	0.00249422	0.00553517	0.00893144	0.0024467	0.000552769	0.003784	0.0286522	0.00150145	0.0116435	0.115343	0.0557203	0.015891	0.000306404	0.000433912	0.00156746	0.0529755	0.03265	0.00319424	0.0229937	0.00216261	0.655003	0.344997	0.9340924
324	-429.6264	-584.7201	155.0938	0.00613982	0.055942	0.00772189	0.00568019	0.0122965	0.00247156	0.000467666	0.0144412	0.0233735	0.00302304	0.0243655	0.0268482	0.0446266	0.000532701	0.00514224	0.0213928	0.00820568	0.00260376	0.0100641	0.0251055	0.00341019	0.00690891	0.0359973	0.00285227	0.00305786	0.0242219	0.00831328	0.00961709	0.0137641	0.0139693	0.000533139	0.00544119	0.0228381	0.0632551	0.00714277	0.00226991	0.0152225	0.0123224	0.000634731	0.00215178	0.00476639	0.00615345	0.000912791	0.00751801	0.0268436	0.0275701	0.035589	0.00182796	0.0304062	0.017639	0.00231736	0.00532958	0.00470419	0.02142	0.00665082	0.0328642	0.0396804	0.00461758	0.0216733	0.00431203	0.0154451	0.00590895	0.00570261	0.0134224	0.0037196	0.0554403	0.00736176	0.0356246	0.0100896	0.0641524	0.0348681	0.00563234	0.0131954	0.0169327	0.0151143	0.0179203	0.00693136	0.0232303	0.00502733	0.00538494	0.153176	0.0886393	0.0146756	0.00194027	0.00161708	0.00114459	0.065036	0.0818765	0.00613486	0.00744505	0.00336365	0.672355	1.05594	0.7576093	1.242391	0.0989853	0.323696	0.703351	1.42177	3.08932	10.1025	1.672302	1.639883	0.1087111	0.00373624	0.0340421	0.00469896	0.00345654	0.00748274	0.00150401	0.000284586	0.00878782	0.0142234	0.0018396	0.014827	0.0163378	0.0271564	0.000324162	0.00312919	0.0130181	0.00499336	0.00158445	0.00612427	0.0152773	0.00207519	0.00420425	0.0219053	0.00173568	0.00186079	0.0147397	0.00505884	0.00585224	0.00837579	0.00850067	0.000324429	0.0033111	0.0138975	0.0384923	0.00434655	0.0013813	0.00926331	0.00749852	0.00038625	0.00130941	0.00290047	0.00374453	0.000555457	0.0045749	0.016335	0.0167771	0.0216568	0.00111236	0.018503	0.0107338	0.00141017	0.00324318	0.00286262	0.0130346	0.00404719	0.0199987	0.0241466	0.00280991	0.0131888	0.00262398	0.00939871	0.00359575	0.00347018	0.00816784	0.00226347	0.0337368	0.00447982	0.0216785	0.00613977	0.0390383	0.0212181	0.00342742	0.00802973	0.010304	0.00919741	0.0109049	0.00421791	0.0141362	0.00305926	0.00327687	0.0932113	0.0539392	0.00893047	0.0011807	0.000984035	0.000696512	0.039576	0.0498239	0.00373322	0.0045305	0.00204687	0.621195	0.378805	1.643317
